"","proportion","mean","sum","percentageGDP2019"
"existence",0.333333333333333,225.818181818182,304417963.636364,0.00296598153323977
"option",0.393939393939394,135.692307692308,216180872.727273,0.00210627674099636
"use",0.272727272727273,173.333333333333,191180363.636364,0.00186269371652739
"total",1,176,711779200,0.00693495199076352
